Product_ID	Product_id_LAST	is_in_catalog	value
787	4748	0	Trentino Müller Thurgau DOC 2012 - Villa Corniole
788	788	0	
789	789	0	
790	3775	0	Rhum Agricole Liberation 2012 - Rhum Rhum (0.7l) 
791	791	0	
792	792	0	
793	55618	0	"Chianti DOCG ""Crono"" 2014 - Pancole"
794	55617	0	"Toscana Rosso IGT ""Aiace"" 2014 - Pancole"
796	796	0	
797	797	0	
798	798	0	
800	13479	0	Colli Aprutini Pecorino IGT 2014 - Emidio Pepe
801	801	0	
802	802	0	
803	803	0	
804	804	0	
805	805	0	
806	806	0	
807	807	0	
808	808	0	
809	809	0	
810	810	0	
811	811	0	
812	812	0	
813	813	0	
814	814	0	
820	820	0	
822	822	0	
823	3231	0	Riesling d'Alsace Réserve 2012 - Domaine Lorentz
824	824	0	
825	3627	0	Gewurztraminer d'Alsace Réserve 2012 - Domaine Lorentz
826	826	0	
827	827	0	
828	828	0	
829	70129	0	Friuli Colli Orientali Sauvignon DOC 2019 - Volpe Pasini
830	70128	0	Colli Orientali Friuli Friulano DOC 2019 - Volpe Pasini
831	97493	0	"Colli Orientali Friuli Ribolla Gialla DOC "" Delle Mura - Zuc di Volpe"" 2020 - Volpe Pasini"
832	14334	0	"Colli Orientali Friuli Sauvignon DOC ""Zuc di Volpe"" 2015 - Volpe Pasini"
833	23702	0	Colli Orientali Friuli Refosco dal Peduncolo Rosso DOC 2013 - Volpe Pasini
837	837	0	
838	838	0	
839	839	0	
840	840	0	
841	841	0	
842	842	0	
843	843	0	
845	69617	0	"Cannonau di Sardegna Riserva DOC ""Barrosu Franzisca"" 2017 - Giovanni Montisci"
846	69617	0	"Cannonau di Sardegna Riserva DOC ""Barrosu Franzisca"" 2017 - Giovanni Montisci"
848	4312	0	"Barbera d'Asti DOC ""le More"" 2012 - Cascina Gilli"
849	849	0	
850	29437	0	Chianti Classico DOCG 2014 - Isole e Olena
851	851	0	
852	852	0	
854	854	0	
855	24212	0	Whisky Big Peat - Islay Vatted Malt (0.7l)
856	856	0	
857	857	0	
858	858	0	
859	859	0	
860	860	0	
869	64119	0	"Franciacorta Satèn ""Soul"" DOCG 2015 - Contadi Castaldi"
870	55487	0	"Franciacorta Rosé ""Soul"" DOCG 2013 - Contadi Castaldi"
871	44529	0	Franciacorta Satèn DOCG 2014 - Contadi Castaldi
872	67441	0	Franciacorta Dosaggio Zero DOCG 2015 - Contadi Castaldi
873	873	0	
874	874	1	
876	12469	0	Valpolicella Classico DOC 2015 - Stefano Accordini
877	18864	0	"Valpolicella Ripasso Superiore DOC ""Acinatico"" 2014 - Stefano Accordini"
878	12471	0	"Rosso del Veneto IGT ""Paxxo"" 2013 - Stefano Accordini"
879	18867	0	"Amarone della Valpolicella Classico DOCG ""Acinatico"" 2013 - Accordini"
881	4261	0	"Etna Bianco DOC ""BiancodiCaselle"" 2013 - Benanti"
882	20282	0	"Etna Bianco Superiore DOC ""Pietramarina"" 2013 - Benanti"
883	4262	0	"Etna Rosso DOC ""Rosso di Verzella"" 2013 - Benanti"
884	14195	0	"Etna Rosso DOC ""Rovittello"" 2012 - Benanti"
885	885	0	
887	887	0	
888	888	0	
889	889	0	
890	890	0	
891	891	0	
893	893	0	
894	894	0	
895	895	0	
896	896	0	
897	897	0	
899	899	1	
900	900	1	
901	901	0	
903	39184	0	Alto Adige Müller Thurgau DOC 2017 - San Michele Appiano
904	55084	0	Alto Adige Gewürztraminer DOC 2018 - San Michele Appiano
905	40113	0	"Alto Adige Sauvignon DOC ""Lahn"" 2017 - San Michele Appiano"
906	55095	0	"Alto Adige Riesling DOC ""Montiggl"" 2018 - San Michele Appiano"
907	34048	0	Alto Adige Lagrein Riserva DOC 2015 - San Michele Appiano
908	40123	0	"Alto Adige Pinot Bianco DOC ""Sanct Valentin"" 2016 - San Michele Appiano"
909	909	1	
911	911	0	
912	912	0	
913	913	0	
914	914	0	
915	915	0	
916	916	0	
917	42181	0	"Romangia Bianco IGT ""Bianco"" 2017 - Dettori"
918	918	0	
919	919	0	
920	28103	0	"Romangia Rosso IGT ""Chimbanta"" 2014 - Dettori"
921	14404	0	"Romangia Rosso IGT ""Dettori"" 2011 - Dettori"
922	66693	0	"Romangia Rosso IGT ""Tenores"" 2015 - Dettori"
923	44751	0	"Romangia Rosso IGT ""Tenores"" 2014 - Dettori"
924	924	0	
925	82948	0	"Vino Bianco ""Sophia"" - Basilisco"
926	28282	0	"Aglianico del Vulture DOC ""Teodosio"" 2013 - Basilisco"
927	73892	0	"Aglianico del Vulture DOCG ""Basilisco"" 2013 - Basilisco"
930	930	0	
931	931	0	
932	932	0	
933	933	0	
934	934	0	
935	935	0	
936	936	0	
937	937	0	
938	938	0	
